date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,46,0,0,10,115,1,0,17,9,73,0,0,12,0,0,0
2021-08-11,46,0,0,10,115,1,0,17,9,73,0,0,12,0,0,0
2021-08-12,46,0,0,10,115,1,0,17,9,73,0,0,12,0,0,0
2021-08-13,46,0,0,10,115,1,0,17,9,73,0,0,12,0,0,0
2021-08-14,46,0,0,10,115,1,0,17,9,73,0,0,12,0,0,0
2021-08-16,46,0,0,10,115,1,0,17,9,73,0,0,12,0,0,0
2021-08-17,46,0,0,10,116,1,0,17,9,73,0,0,12,0,0,0
2021-08-18,46,0,0,10,116,1,0,17,9,73,0,0,12,0,0,0
2021-08-19,46,0,0,10,116,1,0,17,9,73,0,0,12,0,0,0
2021-08-20,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-08-21,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-08-22,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-08-23,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-08-25,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-08-26,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-08-27,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-08-28,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-08-29,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-08-30,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-08-31,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-09-01,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-09-02,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-09-03,46,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-09-04,47,0,0,10,117,1,0,17,9,73,0,0,12,0,0,0
2021-09-05,47,0,0,10,118,1,0,17,9,73,0,0,12,0,0,0
2021-09-06,48,0,0,10,118,1,0,17,9,73,0,0,12,0,0,0
2021-09-07,48,0,0,10,119,1,0,17,9,73,0,0,12,0,0,0
2021-09-08,48,0,0,10,119,1,0,17,9,73,0,0,12,0,0,0
2021-09-09,48,0,0,10,119,1,0,17,9,73,0,0,12,0,0,0
2021-09-10,48,0,0,10,119,1,0,17,9,73,0,0,12,0,0,0
2021-09-11,48,0,0,10,120,1,0,17,9,73,0,0,12,0,0,0
2021-09-12,48,0,0,10,120,1,0,17,9,73,0,0,12,0,0,0
2021-09-13,48,0,0,10,120,1,0,17,9,73,0,0,12,0,0,0
2021-09-14,48,0,0,10,121,1,0,17,9,73,0,0,12,0,0,0
2021-09-15,48,0,0,10,121,1,0,17,9,73,0,0,12,0,0,0
