date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,4960,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,4963,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,4966,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,4969,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,4971,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,4973,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,4977,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,4983,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,5011,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,5039,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,5043,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,5048,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,5053,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,5059,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,5073,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,5083,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,5098,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,5102,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,5107,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,5114,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,5121,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,5134,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,5140,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,5149,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,5176,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,5195,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,5214,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,5243,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,5290,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,5324,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,5344,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,5351,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,5357,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,5373,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,5396,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,5414,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,5427,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,5440,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,5481,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,5528,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,5553,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20,5591,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-22,6648,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-24,6658,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03,10259,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-07,10276,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-08,10280,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-09,10285,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-10,10288,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-11,10296,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-12,10304,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,10309,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-14,10311,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-15,10313,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,10320,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-17,10329,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-18,10339,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-19,10351,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-20,10355,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-21,10362,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-22,10364,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23,10375,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-24,10389,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-25,10393,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-26,10399,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-27,10404,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-28,10407,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-29,10409,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-30,10415,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-31,10423,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,10437,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-02,10445,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-03,10450,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-04,10456,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-05,10459,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-06,10471,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-07,10475,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-08,10485,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-09,10496,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-10,10506,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-11,10510,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-12,10515,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-13,10524,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-14,10528,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-15,10536,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-16,10540,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-17,10543,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-18,10544,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-19,10545,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-20,10556,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-21,10563,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-22,10570,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-23,10576,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-24,10582,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-25,10584,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-26,10585,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-27,10587,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-28,10599,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-29,10603,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-30,10613,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,10616,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-02,10619,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-03,10623,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-04,10626,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-05,10631,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-06,10634,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-07,10643,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-08,10652,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-09,10653,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-10,10654,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-11,10658,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-12,10668,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-13,10673,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-14,10679,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-15,10682,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-16,10685,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-17,10687,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-18,10690,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-19,10696,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-20,10699,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-21,10704,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-22,10708,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-23,10708,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-24,10711,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-25,10716,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-26,10720,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-27,10728,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-28,10731,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-29,10732,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-30,10733,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,10734,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,10736,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-02,10738,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-03,10740,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-04,10744,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-05,10745,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-06,10746,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-07,10746,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-08,10746,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-09,10749,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-10,10752,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-11,10756,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-13,10760,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-14,10760,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-15,10762,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-16,10763,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-17,10765,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-18,10766,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-19,10768,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-20,10770,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-21,10770,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-22,10772,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-23,10772,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-24,10776,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-25,10780,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-26,10784,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-27,10785,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,10786,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,10788,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,10795,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,10797,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,10801,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-02,10804,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-03,10804,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-04,10805,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-05,10806,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-06,10813,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-07,10817,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-08,10822,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-09,10823,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-10,10824,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-11,10827,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-12,10831,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-13,10833,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-14,10836,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-15,10837,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-16,10840,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-17,10841,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-18,10846,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-20,10858,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-22,10866,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-23,10869,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-24,10871,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-25,10873,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-26,10878,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-27,10880,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-28,10885,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-29,10891,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-30,10893,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,10894,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-02,10897,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-03,10900,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-04,10905,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-05,10906,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-06,10911,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-07,10913,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-08,10917,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-09,10917,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-10,10922,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-11,10926,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-12,10931,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-13,10933,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-14,10937,2,0,64,0,0,0,0,0,0,0,0,0,0,0,0
