date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,436,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,436,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,436,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,437,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,438,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,438,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,438,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,438,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,439,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,440,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,440,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
