date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,73,0,0,36,108,6,0,173,17,55,0,2,74,0,165,24
2021-08-11,73,0,0,36,108,6,0,173,17,55,0,2,74,0,165,24
2021-08-12,73,0,0,36,109,6,0,173,17,55,0,2,74,0,165,24
2021-08-13,73,0,0,36,109,6,0,173,17,55,0,2,74,0,165,24
2021-08-14,73,0,0,36,109,6,0,173,17,55,0,2,74,0,165,24
2021-08-15,73,0,0,36,109,6,0,173,17,55,0,2,74,0,165,24
2021-08-16,73,0,0,36,109,6,0,173,17,55,0,2,74,0,165,24
2021-08-17,73,0,0,36,109,6,0,173,17,55,0,2,74,0,165,24
2021-08-18,73,0,0,36,109,6,0,173,17,55,0,2,74,0,165,24
2021-08-19,73,0,0,36,109,6,0,173,17,55,0,2,74,0,165,24
