date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,165,0,0,303,230,10,0,303,0,199,0,37,862,0,0,0
2021-08-11,165,0,0,303,230,10,0,303,0,199,0,37,862,0,0,0
2021-08-12,165,0,0,303,231,10,0,303,0,199,0,37,862,0,0,0
2021-08-13,165,0,0,303,231,10,0,303,0,199,0,37,862,0,0,0
2021-08-14,165,0,0,303,232,10,0,303,0,199,0,37,862,0,0,0
2021-08-15,165,0,0,303,232,10,0,303,0,199,0,37,862,0,0,0
2021-08-16,172,0,0,304,232,10,0,303,0,199,0,37,862,0,0,0
2021-08-17,174,0,0,304,246,10,0,304,0,199,0,37,862,0,0,0
2021-08-18,182,0,0,304,250,10,0,304,0,199,0,37,862,0,0,0
2021-08-19,188,0,0,304,261,10,0,304,0,199,0,37,862,0,0,0
2021-08-20,191,0,0,304,270,10,0,304,0,199,0,37,862,0,0,0
2021-08-21,193,0,0,304,277,10,0,304,0,199,0,37,862,0,0,0
2021-08-22,193,0,0,304,280,10,0,304,0,199,0,37,862,0,0,0
2021-08-23,193,0,0,304,280,10,0,304,0,199,0,37,862,0,0,0
2021-08-24,193,0,0,304,280,10,0,304,0,199,0,37,862,0,0,0
2021-08-25,195,0,0,304,281,10,0,304,0,199,0,37,862,0,0,0
2021-08-26,195,0,0,304,285,10,0,304,0,199,0,37,862,0,0,0
2021-08-27,195,0,0,304,285,10,0,304,0,199,0,37,862,0,0,0
2021-08-28,196,0,0,304,285,10,0,304,0,199,0,37,862,0,0,0
2021-08-29,197,0,0,304,286,10,0,304,0,199,0,37,862,0,0,0
2021-08-30,197,0,0,304,287,10,0,304,0,199,0,37,862,0,0,0
2021-08-31,198,0,0,304,290,10,0,304,0,199,0,37,862,0,0,0
2021-09-01,198,0,0,304,291,10,0,304,0,199,0,37,862,0,0,0
2021-09-02,198,0,0,304,292,10,0,304,0,199,0,37,862,0,0,0
2021-09-03,200,0,0,304,293,10,0,304,0,199,0,37,862,0,0,0
2021-09-04,200,0,0,304,297,10,0,304,0,199,0,37,862,0,0,0
