date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,3277,0,0,268,4969,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-11,3282,0,0,268,4986,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-12,3285,0,0,268,4994,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-13,3289,0,0,268,4999,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-14,3291,0,0,268,5005,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-15,3293,0,0,268,5010,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-16,3304,0,0,268,5013,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-17,3309,0,0,268,5030,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-18,3313,0,0,268,5035,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-19,3319,0,0,268,5040,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-20,3323,0,0,268,5051,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-21,3326,0,0,268,5057,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-22,3327,0,0,268,5064,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-23,3329,0,0,268,5065,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-24,3332,0,0,268,5074,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-25,3337,0,0,268,5083,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-26,3342,0,0,268,5091,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-27,3346,0,0,268,5097,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-28,3349,0,0,268,5107,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-29,3349,0,0,268,5112,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-30,3360,0,0,268,5124,1,2,1407,8,893,50,954,1259,0,25,0
2021-08-31,3364,0,0,268,5139,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-01,3369,0,0,268,5147,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-02,3374,0,0,268,5153,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-03,3381,0,0,268,5161,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-04,3388,0,0,268,5172,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-05,3388,0,0,268,5180,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-06,3389,0,0,268,5185,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-07,3396,0,0,268,5190,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-08,3408,0,0,268,5200,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-09,3413,0,0,268,5215,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-10,3420,0,0,268,5222,1,2,1407,8,893,50,954,1259,0,25,0
2021-09-11,3424,0,0,268,5233,1,2,1407,8,893,50,954,1259,0,25,0
