date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-11,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-12,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-13,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-14,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-15,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-16,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-17,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-18,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-19,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-20,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-21,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-22,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-23,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-24,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-25,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-26,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-27,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-28,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-29,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-30,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-08-31,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-01,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-02,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-03,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-04,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-05,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-06,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-07,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-08,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-09,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-10,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-11,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-12,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-13,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-14,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-15,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-16,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-17,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-18,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-19,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-09-20,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2021-11-22,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-03,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-07,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-08,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-09,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-10,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-11,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-12,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-13,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-14,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-15,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-16,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-17,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-18,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-19,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-20,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-21,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-22,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-23,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-24,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-25,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-26,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-27,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-28,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-29,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-30,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-05-31,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-01,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-02,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-03,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-04,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-05,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-06,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-07,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-08,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-09,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-10,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-11,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-12,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-13,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-14,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-15,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-16,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-17,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-18,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-19,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-20,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-21,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-22,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-23,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-24,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-25,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-26,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-27,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-28,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-29,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-06-30,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-01,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-02,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-03,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-04,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-05,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-06,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-07,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-08,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-09,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-10,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-11,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-12,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-13,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-14,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-15,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-16,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-17,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-18,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-19,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-20,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-21,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-22,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-23,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-24,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-25,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-26,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-27,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-28,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-29,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-30,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-07-31,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-01,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-02,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-03,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-04,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-05,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-06,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-07,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-08,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-09,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-10,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-11,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-13,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-14,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-15,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-16,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-17,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-18,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-19,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-20,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-21,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-22,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-23,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-24,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
2022-08-25,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
