date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,211,0,1,179,270,0,1,181,9,711,0,0,1,0,0,0
2021-08-11,211,0,1,179,270,0,1,181,9,711,0,0,1,0,0,0
2021-08-12,211,0,1,179,271,0,1,181,9,711,0,0,1,0,0,0
2021-08-13,212,0,1,179,271,0,1,181,9,711,0,0,1,0,0,0
2021-08-14,212,0,1,179,272,0,1,181,9,711,0,0,1,0,0,0
2021-08-15,212,0,1,179,272,0,1,181,9,711,0,0,1,0,0,0
2021-08-16,219,0,1,179,272,0,1,181,9,711,0,0,1,0,0,0
2021-08-17,221,0,1,179,284,0,1,181,9,711,0,0,1,0,0,0
2021-08-18,225,0,1,179,287,0,1,181,9,711,0,0,1,0,0,0
2021-08-19,226,0,1,179,294,0,1,181,9,711,0,0,1,0,0,0
2021-08-20,227,0,1,179,301,0,1,181,9,711,0,0,1,0,0,0
2021-08-21,229,0,1,179,306,0,1,181,9,711,0,0,1,0,0,0
2021-08-22,229,0,1,179,310,0,1,181,9,711,0,0,1,0,0,0
2021-08-23,229,0,1,179,310,0,1,181,9,711,0,0,1,0,0,0
2021-08-25,230,0,1,179,319,0,1,181,9,711,0,0,1,0,0,0
2021-08-26,231,0,1,179,319,0,1,181,9,711,0,0,1,0,0,0
2021-08-27,232,0,1,179,320,0,1,181,9,711,0,0,1,0,0,0
2021-08-28,232,0,1,179,322,0,1,181,9,711,0,0,1,0,0,0
2021-08-29,232,0,1,179,322,0,1,181,9,711,0,0,1,0,0,0
2021-08-30,232,0,1,179,323,0,1,181,9,711,0,0,1,0,0,0
2021-08-31,232,0,1,179,323,0,1,181,9,711,0,0,1,0,0,0
2021-09-01,232,0,1,179,324,0,1,181,9,711,0,0,1,0,0,0
2021-09-02,232,0,1,179,325,0,1,181,9,711,0,0,1,0,0,0
2021-09-03,233,0,1,179,325,0,1,181,9,711,0,0,1,0,0,0
2021-09-04,234,0,1,179,326,0,1,181,9,711,0,0,1,0,0,0
2021-09-05,234,0,1,179,327,0,1,181,9,711,0,0,1,0,0,0
2021-09-06,234,0,1,179,327,0,1,181,9,711,0,0,1,0,0,0
