date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-11,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-12,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-13,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-14,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-15,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-16,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-17,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-18,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-19,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-20,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-21,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-22,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-23,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-24,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-25,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-26,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
2021-08-27,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
