date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,5602,2,0,267,6092,2,0,267,0,379,227,0,40,0,12,0
2021-08-11,5603,2,0,267,6099,2,0,267,0,379,227,0,40,0,12,0
2021-08-12,5611,2,0,267,6108,2,0,267,0,379,227,0,40,0,12,0
2021-08-13,5618,2,0,267,6114,2,0,267,0,379,227,0,40,0,12,0
2021-08-14,5622,2,0,267,6118,2,0,267,0,379,227,0,40,0,12,0
2021-08-15,5622,2,0,267,6118,2,0,267,0,379,227,0,40,0,12,0
2021-08-16,5628,2,0,267,6124,2,0,267,0,379,227,0,40,0,12,0
2021-08-17,5634,2,0,267,6132,2,0,267,0,379,227,0,40,0,12,0
2021-08-18,5638,2,0,267,6139,2,0,267,0,379,227,0,40,0,12,0
2021-08-19,5643,2,0,267,6146,2,0,267,0,379,227,0,40,0,12,0
2021-08-20,5649,2,0,267,6154,2,0,267,0,379,227,0,40,0,12,0
2021-08-21,5653,2,0,267,6156,2,0,267,0,379,227,0,40,0,12,0
2021-08-22,5653,2,0,267,6157,2,0,267,0,379,227,0,40,0,12,0
2021-08-23,5660,2,0,267,6168,2,0,267,0,379,227,0,40,0,12,0
2021-08-24,5662,2,0,267,6174,2,0,267,0,379,227,0,40,0,12,0
2021-08-25,5668,2,0,267,6182,2,0,267,0,379,227,0,40,0,12,0
2021-08-26,5676,2,0,267,6193,2,0,267,0,379,227,0,40,0,12,0
2021-08-27,5685,2,0,267,6205,2,0,267,0,379,227,0,40,0,12,0
