date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,330,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-11,336,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-12,338,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-13,338,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-14,339,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-15,339,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-16,339,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-17,340,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-18,340,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-19,340,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-20,340,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-21,341,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-22,341,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-23,341,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-24,342,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-25,342,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-26,344,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-27,344,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-28,344,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-29,344,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-30,344,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-08-31,345,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-01,345,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-02,348,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-03,349,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-04,350,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-05,350,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-06,350,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-07,352,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-08,352,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-09,353,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-10,355,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-11,356,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-12,356,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-13,360,0,8,79,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-14,363,0,8,79,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-15,366,0,8,79,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-16,374,0,8,79,131,2,4,66,10,98,6,14,65,0,0,4
2021-09-17,375,0,8,79,131,2,4,66,10,98,6,14,65,0,0,4
