date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,246,1,4,140,250,1,4,1005,56,65,8,40,28,0,288,4
2021-08-11,246,1,4,140,250,1,4,1005,56,65,8,40,28,0,288,4
2021-08-12,246,1,4,140,252,1,4,1005,56,65,8,40,28,0,288,4
2021-08-13,246,1,4,140,252,1,4,1005,56,65,8,40,28,0,288,4
2021-08-14,246,1,4,140,252,1,4,1005,56,65,8,40,28,0,288,4
2021-08-15,246,1,4,140,252,1,4,1005,56,65,8,40,28,0,288,4
2021-08-16,247,1,4,140,252,1,4,1005,56,65,8,40,28,0,288,4
2021-08-17,247,1,4,140,253,1,4,1005,56,65,8,40,28,0,288,4
2021-08-18,247,1,4,140,253,1,4,1005,56,65,8,40,28,0,288,4
2021-08-19,247,1,4,140,253,1,4,1005,56,65,8,40,28,0,288,4
2021-08-20,247,1,4,140,253,1,4,1005,56,65,8,40,28,0,288,4
2021-08-21,247,1,4,140,253,1,4,1005,56,65,8,40,28,0,288,4
2021-08-22,247,1,4,140,253,1,4,1005,56,65,8,40,28,0,288,4
2021-08-23,247,1,4,140,253,1,4,1005,56,65,8,40,28,0,288,4
2021-08-24,247,1,4,140,253,1,4,1005,56,65,8,40,28,0,288,4
2021-08-25,247,1,4,140,253,1,4,1005,56,65,8,40,28,0,288,4
2021-08-26,247,1,4,140,253,1,4,1005,59,65,8,40,28,0,288,4
2021-08-27,247,1,4,140,253,1,4,1005,59,65,8,40,28,0,288,4
2021-08-28,247,0,4,140,253,1,4,1005,59,65,8,40,28,0,288,4
2021-08-29,247,0,4,140,253,1,4,1005,59,65,8,40,28,0,288,4
2021-08-30,247,0,4,140,253,1,4,1005,59,65,8,40,28,0,288,4
2021-08-31,247,0,4,140,253,1,4,1005,60,65,8,40,28,0,288,4
2021-09-01,247,0,4,140,253,1,4,1005,60,65,8,40,28,0,288,4
2021-09-02,247,0,4,140,253,1,4,1005,60,65,8,40,28,0,288,4
2021-09-03,247,0,4,140,253,1,4,1005,60,65,8,40,28,0,288,4
2021-09-04,247,0,4,140,254,1,4,1005,60,65,8,40,28,6,288,4
2021-09-05,247,0,4,140,254,1,4,1005,60,65,8,40,28,6,288,4
2021-09-06,247,0,4,140,254,1,4,1005,60,65,8,40,28,6,288,4
2021-09-07,247,0,4,140,254,1,4,1005,60,65,8,40,28,6,288,4
2021-09-08,247,0,4,140,254,1,4,1005,60,65,8,40,28,6,288,4
