date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,514,0,1,121,981,1,1,121,0,195,28,1219,0,665,0,0
2021-08-11,514,0,1,121,981,1,1,121,0,195,28,1219,0,665,0,0
2021-08-12,514,0,1,121,981,1,1,121,0,195,28,1219,0,665,0,0
2021-08-13,516,0,1,121,981,1,1,121,0,195,28,1219,0,665,0,0
2021-08-14,516,0,1,121,984,1,1,121,0,195,28,1219,0,665,0,0
2021-08-15,516,0,1,121,984,1,1,121,0,195,28,1219,0,665,0,0
2021-08-16,516,0,1,121,984,1,1,121,0,195,28,1219,0,665,0,0
2021-08-17,517,0,1,121,985,1,1,121,0,195,28,1219,0,665,0,0
2021-08-18,519,0,1,121,987,1,1,121,0,195,28,1219,0,665,0,0
2021-08-19,521,0,1,121,989,1,1,121,0,195,28,1219,0,665,0,0
2021-08-20,521,0,1,121,992,1,1,121,0,195,28,1219,0,665,0,0
2021-08-21,522,0,1,121,992,1,1,121,0,195,28,1219,0,665,0,0
2021-08-22,522,0,1,121,996,1,1,121,0,195,28,1219,0,665,0,0
2021-08-23,523,0,1,121,996,1,1,121,0,195,28,1219,0,665,0,0
2021-08-24,523,0,1,121,997,1,1,121,0,195,28,1219,0,665,0,0
