date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,168,0,28,0,367,1,28,1,1,23,0,1,0,0,13,0
2021-08-11,176,0,28,0,367,1,28,1,1,23,0,1,0,0,13,0
2021-08-12,181,0,28,0,388,1,28,1,1,23,0,1,0,0,13,0
2021-08-13,183,0,28,0,400,1,28,1,1,23,0,1,0,0,13,0
2021-08-14,183,0,28,0,405,1,28,1,1,23,0,1,0,0,13,0
2021-08-15,185,0,28,0,407,1,28,1,1,23,0,1,0,0,13,0
2021-08-16,185,0,28,0,409,1,28,1,1,23,0,1,0,0,13,0
2021-08-17,187,0,28,0,409,1,28,1,1,23,0,1,0,0,13,0
2021-08-18,188,0,28,0,412,1,28,1,1,23,0,1,0,0,13,0
2021-08-19,192,0,28,0,414,1,28,1,1,23,0,1,0,0,13,0
2021-08-20,193,0,28,0,422,1,28,1,1,23,0,1,0,0,13,0
2021-08-21,195,0,28,0,425,1,28,1,1,23,0,1,0,0,13,0
2021-08-22,195,0,28,0,431,1,28,1,1,23,0,1,0,0,13,0
2021-08-23,195,0,28,0,431,1,28,1,1,23,0,1,0,0,13,0
2021-08-24,195,0,28,0,432,1,28,1,1,23,0,1,0,0,13,0
2021-08-25,195,0,28,0,432,1,28,1,1,23,0,1,0,0,13,0
2021-08-26,200,0,28,0,432,1,28,1,1,23,0,1,0,0,13,0
2021-08-27,216,0,28,0,442,1,28,1,1,23,0,1,0,0,13,0
2021-08-28,216,0,28,0,464,1,28,1,1,23,0,1,0,0,13,0
2021-08-29,216,0,28,0,475,1,28,1,1,23,0,1,0,0,13,0
2021-08-30,218,0,28,0,478,1,28,1,1,23,0,1,0,0,13,0
2021-08-31,218,0,28,0,481,1,28,1,1,23,0,1,0,0,13,0
2021-09-01,218,0,28,0,481,1,28,1,1,23,0,1,0,0,13,0
2021-09-02,219,0,28,0,483,1,28,1,1,23,0,1,0,0,13,0
2021-09-03,221,0,28,0,487,1,28,1,1,23,0,1,0,0,13,0
2021-09-04,223,0,28,0,490,1,28,1,1,23,0,1,0,0,13,0
2021-09-06,223,0,28,0,495,1,28,1,1,23,0,1,0,0,13,0
